nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2025,26,2609907,3,26285412,60012028.0,PE,Ouricuri,708.5646185,0,1,Não Alfabetizado,Presente,Municipal,640,640,738.27,45.16,54.84,510.0,722.67,31.37,68.63,15.6,13.79,-13.79,25.49,0.45132743362831856,103,0,0,29.81,Alto
2025,22,2211001,3,22032503,60007010.0,PI,Teresina,749.8903747,1,1,Alfabetizado,Presente,Municipal,7055,7055,777.57,80.91,19.09,6764.0,751.13,57.57,42.43,26.44,23.34,-23.34,4.3,0.5978260869565217,82,1,1,59.5,Medio
2024,26,2606804,3,26027143,60012264.0,PE,Igarassu,761.83,1,1,Alfabetizado,Presente,Municipal,1170,1170,748.57,67.01,32.99,,,,,,,,,0.515625,118,1,0,38.4,Alto
2024,26,2611606,3,26051284,60012542.0,PE,Recife,767.85,1,1,Alfabetizado,Presente,Municipal,9859,9859,740.83,54.43,45.57,,,,,,,,,0.5327868852459017,112,1,0,38.22,Alto
2025,42,4209102,3,42091059,60037419.0,SC,Joinville,716.0375969,0,1,Não Alfabetizado,Presente,Municipal,5733,5733,754.75,66.82,33.18,4689.0,757.07,69.44,30.56,-2.32,-2.62,2.62,22.26,0.41621621621621624,175,0,0,32.16,Alto
2025,21,2103174,3,21105781,60005151.0,MA,Centro Novo do Maranhão,833.3255983,1,1,Alfabetizado,Presente,Municipal,251,251,763.48,75.3,24.7,178.0,724.93,37.08,62.92,38.55,38.22,-38.22,41.01,0.6635514018691588,97,1,1,66.93,Medio
2025,15,1501402,3,15073783,60003145.0,PA,Belém,716.9016745,0,1,Não Alfabetizado,Presente,Municipal,4726,4726,732.84,50.99,49.01,4086.0,730.35,46.21,53.79,2.49,4.78,-4.78,15.66,0.575,110,0,0,43.74,Alto
2024,31,3143302,3,31193241,60021997.0,MG,Montes Claros,815.49,1,1,Alfabetizado,Presente,Municipal,2059,2059,761.17,75.76,24.24,,,,,,,,,0.8273809523809523,158,1,1,71.97,Baixo
2024,25,2507507,3,25005264,60011301.0,PB,João Pessoa,801.56,1,1,Alfabetizado,Presente,Municipal,4971,4971,750.84,56.13,43.87,,,,,,,,,0.896551724137931,193,1,1,85.0,Baixo
2025,35,3534401,3,35314831,60031218.0,SP,Osasco,783.83593,1,1,Alfabetizado,Presente,Municipal,6573,6573,731.98,50.3,49.7,6664.0,737.43,49.19,50.81,-5.45,1.11,-1.11,-1.37,0.722488038277512,199,1,0,54.7,Medio
2024,35,3509502,2,35041596,60026327.0,SP,Campinas,711.5362515,0,1,Não Alfabetizado,Presente,Estadual,7063,7063,768.66,72.58,27.42,,,,,,,,,0.6233766233766234,221,0,0,48.34,Medio
2025,11,1100189,3,11077078,60000187.0,RO,Pimenta Bueno,727.3847827,0,1,Não Alfabetizado,Presente,Municipal,532,532,772.83,82.33,17.67,472.0,762.27,81.78,18.22,10.56,0.55,-0.55,12.71,0.9045454545454545,210,0,1,90.33,Baixo
2025,33,3303302,3,33010902,60025205.0,RJ,Niterói,782.0046583,1,1,Alfabetizado,Presente,Municipal,2516,2516,744.19,59.54,40.46,2361.0,737.83,51.25,48.75,6.36,8.29,-8.29,6.57,0.5,108,1,0,40.23,Alto
2024,15,1500602,3,15006242,60002572.0,PA,Altamira,730.77,0,1,Não Alfabetizado,Presente,Municipal,1559,1559,730.83,45.73,54.27,,,,,,,,,0.5,60,0,0,35.16,Alto
2024,51,5107602,3,51022624,60040523.0,MT,Rondonópolis,828.42,1,1,Alfabetizado,Presente,Municipal,2966,2966,752.54,60.65,39.35,,,,,,,,,0.6097560975609756,113,1,0,44.49,Alto
2024,31,3119609,3,31161725,60018938.0,MG,Coronel Pacheco,666.69,0,1,Não Alfabetizado,Presente,Municipal,24,24,741.04,62.5,37.5,,,,,,,,,0.5957446808510638,37,0,0,51.61,Medio
2025,15,1501303,3,15008263,60002140.0,PA,Barcarena,741.7073974,0,1,Não Alfabetizado,Presente,Municipal,1434,1434,736.82,51.46,48.54,1438.0,724.84,39.78,60.22,11.98,11.68,-11.68,-0.28,0.5585585585585585,101,0,0,40.95,Alto
